code,term
Q0,Quartile 0
Q1,Quartile 1
Q2,Quartile 2
Q3,Quartile 3
Q4,Quartile 4
Q5,Quartile 5
Q6,Quartile 6
Q7,Quartile 7
Q8,Quartile 8
Q9,Quartile 9
Q10,Quartile 10
