MedicalTerm,Readcode
GN,"['D310100', 'G752111', 'G752112', 'K000100', 'K000111', 'K000.00', 'K001.00', 'K00..00', 'K00..12', 'K00y000', 'K00y.00', 'K00yz00', 'K00z.00', 'K010.00', 'K011.00', 'K012.00', 'K013.00', 'K013.11', 'K013.12', 'K014.00', 'K015.00', 'K016.00', 'K017.00', 'K018.00', 'K019.00', 'K01A.00', 'K01B.00', 'K01..00', 'K01x000', 'K01x200', 'K01x300', 'K01x400', 'K01x411', 'K01x.00', 'K01y.00', 'K01z.00', 'K020.00', 'K021.00', 'K022.00', 'K023.00', 'K02..00', 'K02y000', 'K02y200', 'K02y300', 'K02y.00', 'K02yz00', 'K02z.00', 'K030.00', 'K031.00', 'K032000', 'K032100', 'K032200', 'K032300', 'K032600', 'K032.00', 'K032y00', 'K032y11', 'K032y13', 'K032y14', 'K032y15', 'K032z00', 'K033.00', 'K03U.00', 'K03V.00', 'K03W.00', 'K03X.00', 'K03z.00', 'K072.00', 'K0A0000', 'K0A0100', 'K0A0200', 'K0A0300', 'K0A0400', 'K0A0500', 'K0A0600', 'K0A0700', 'K0A0.00', 'K0A1100', 'K0A1200', 'K0A1300', 'K0A1400', 'K0A1600', 'K0A1700', 'K0A1.00', 'K0A2000', 'K0A2100', 'K0A2200', 'K0A2300', 'K0A2500', 'K0A2600', 'K0A2700', 'K0A2800', 'K0A2.00', 'K0A3000', 'K0A3100', 'K0A3200', 'K0A3300', 'K0A3500', 'K0A3600', 'K0A3700', 'K0A3.00', 'K0A4100', 'K0A4200', 'K0A4300', 'K0A4500', 'K0A4.00', 'K0A4W00', 'K0A4X00', 'K0A7.00', 'K0A8.00', 'K0A..00', 'Kyu0900']"
GORD,"['171J.00', '1957.00', '760L000', '760L100', '760L111', '760L200', '760L300', '760L311', '760L400', '760L.00', '760L.11', '760Ly00', '760Lz00', '760M.00', '760Mz00', 'J101100', 'J101111', 'J101112', 'J101113', 'J10y400', 'J10y411', 'J10y412', 'J10y413', 'J10y500']"
HBW,"['L266000', 'L266100', 'L266200', 'L266z00', 'Q120.00', 'Q121.00', 'Q12..11']"
IBS,"['14CF.00', '8Cm..00', 'J521000', 'J521.00', 'J521.11', 'J521.13']"
IDA,"['D000.00', 'D000.11', 'D000.12', 'D001.00', 'D00..00', 'D00y000', 'D00y011', 'D00y012', 'D00y.00', 'D00y.11', 'D00y.12', 'D00yz00', 'D00z000', 'D00z100', 'D00z.00', 'D00zz00', 'D0...11', 'D0...12', 'Dyu0000']"
Intracereb_haem,"['662o.00', '7004300.0', 'G610.00', 'G611.00', 'G612.00', 'G613.00', 'G614.00', 'G615.00', 'G616.00', 'G617.00', 'G618.00', 'G619.00', 'G61..00', 'G61..11', 'G61..12', 'G61X000', 'G61X100', 'G61X.00', 'G61z.00', 'G681.00', 'G682.00', 'Gyu6200', 'Gyu6F00']"
Isch_stroke,"['G63..11', 'G63y000', 'G63y100', 'G640000', 'G640.00', 'G641000', 'G641.00', 'G641.11', 'G64..00', 'G64..11', 'G64..12', 'G64..13', 'G64z000', 'G64z100', 'G64z111', 'G64z200', 'G64z300', 'G64z400', 'G64z.00', 'G64z.11', 'G64z.12', 'G683.00', 'G6W..00', 'G6X..00', 'Gyu6300', 'Gyu6400', 'Gyu6G00']"
LBBB,"['329A.00', 'G562.11', 'G563.00']"
LBW,"['L265000', 'L265100', 'L265200', 'L265.00', 'L265z00', 'Q10..00', 'Q100.00', 'Q100.11', 'Q101.00', 'Q101.11', 'Q10z.00', 'Q10z.11', 'Q11..00', 'Q110.00', 'Q111.00', 'Q113.00', 'Q114.00', 'Q114000', 'Q115.00', 'Q115000', 'Q13..00', 'Qyu1000']"
MDS,"['7Q09700', 'B937000', 'B937100', 'B937200', 'B937300', 'B937600', 'B937700', 'B937800', 'B937900', 'B937911', 'B937.14', 'B937W00', 'B937W11', 'B937X00', 'BBmA.00', 'BBmB.00', 'BBmL.00', 'BBv..00', 'ByuHD00', 'D213.00']"
