MedicalTerm,Readcode
anal_fissure,"['7739300.0', 'J530000', 'J530100', 'J530.00', 'J530.11', 'J53..00', 'J53z.00', 'J544.00']"
angiodysplasia_colon,['J577000']
ank_spond,"['2377.00', '388p.00', 'N100.00', 'N100.11']"
anorectal_fistula,"['7729700.0', '7738000.0', '7738100.0', '7738200.0', '7738300.0', '7738400.0', '7738600.0', '7738611.0', '7738.11', '7738900.0', 'J531000', 'J531100', 'J531200', 'J531300', 'J531.00', 'J531z00', 'J53..00', 'J53z.00']"
anorectal_prolapse,"['7720.00', '7720y00', '7720z00', '7723400.0', '7723411.0', '7723500.0', '7723511.0', '7723.00', '7723.11', '7723.12', '7723y00', '7723z00', '7724011.0', '7724012.0', '7724.00', '7724y00', '7724y11', '7724z00', '7726400.0', '7727011.0', '7727400.0', '7727500.0', '7727.00', '7727y00', '7727z00', '7728400.0', 'J571000', 'J571100', 'J571200', 'J571.00', 'J571.11', 'J571.12', 'J571z00', 'J579.00']"
ant_uveitis,"['1486.00', 'A173300', 'A532200', 'A544400', 'A984100', 'C34y300', 'F432300', 'F432311', 'F440000', 'F440100', 'F440200', 'F440300', 'F440400', 'F440500', 'F440600', 'F440700', 'F440.00', 'F440.11', 'F440z00', 'F441000', 'F441100', 'F441200', 'F441.00', 'F441.11', 'F441z00', 'F442000', 'F442100', 'F442200', 'F442.00', 'F442z00', 'F443000', 'F443100', 'F443.00', 'F443.11', 'F44..12']"
anxiety,"['1466.00', '146G.00', '1B1H.11', '1B1V.00', '1Bb..00', '225J.00', '225K.00', '285..00', '286..00', '8G52.00', '8G94.00', '8HHp.00', '9N54.00', 'E200000', 'E200100', 'E200111', 'E200200', 'E200300', 'E200400', 'E200500', 'E200.00', 'E200z00', 'E201B00', 'E202000', 'E202100', 'E202200', 'E202300', 'E202400', 'E202500', 'E202600', 'E202700', 'E202800', 'E202900', 'E202A00', 'E202B00', 'E202C00', 'E202D00', 'E202.00', 'E202.11', 'E202.12', 'E202E00', 'E202z00', 'E20..00', 'E20y100', 'E20y200', 'E20y300', 'E20y.00', 'E20yz00', 'E20z.00', 'Eu34111', 'Eu34113', 'Eu34114', 'Eu40000', 'Eu40011', 'Eu40012', 'Eu40100', 'Eu40112', 'Eu40200', 'Eu40211', 'Eu40212', 'Eu40213', 'Eu40214', 'Eu40300', 'Eu40.00', 'Eu40y00', 'Eu40z00', 'Eu40z11', 'Eu40z12', 'Eu41000', 'Eu41011', 'Eu41012', 'Eu41100', 'Eu41111', 'Eu41112', 'Eu41113', 'Eu41200', 'Eu41211', 'Eu41300', 'Eu41.00', 'Eu41y00', 'Eu41y11', 'Eu41z00', 'Eu41z11', 'Z481.00', 'Z4L1.00', 'ZV11200']"
aplastic,"['D200000', 'D200011', 'D200100', 'D200111', 'D200200', 'D200211', 'D200300', 'D200311', 'D200312', 'D200313', 'D200314', 'D200400', 'D200.00', 'D200.13', 'D200.15', 'D200y00', 'D201000', 'D201100', 'D201111', 'D201200', 'D201211', 'D201311', 'D201400', 'D201412', 'D201500', 'D201600', 'D201611', 'D201612', 'D201700', 'D201800', 'D201.00', 'D201.11', 'D201z00', 'D201z12', 'D201z13', 'D201z14', 'D202.00', 'D203000', 'D203.00', 'D204.00', 'D20..00', 'D20X.00', 'D20z.00']"
appendicitis,"['14C2.00', '25J6.00', '7700000.0', '7700100.0', '7700300.0', '7700400.0', '7700.00', '7700.11', '7700y00', '7700z00', '7701000.0', '7701300.0', '7701400.0', '7701.00', '7701.11', '7701y00', '7701z00', '7701z11', '7702000.0', '7702100.0', 'J200.00', 'J201.00', 'J201.11', 'J201.12', 'J202.00', 'J203.00', 'J204.00', 'J20..00', 'J20z100', 'J20z.00', 'J21..00', 'J220.00', 'J221.00', 'J222.00', 'J223.00', 'J22..00', 'J22z.00', 'Jyu2000']"
asbestosis,"['H410.00', 'H410.11', 'H41..00', 'H41z.00']"
aspiration_pneumo,"['H470000', 'H470100', 'H470200', 'H470211', 'H470300', 'H470311', 'H470312', 'H470.00', 'H470.11', 'H470z00', 'H471000', 'H471.00', 'H471z00', 'H47..00', 'H47..11', 'H47y.00', 'H47yz00', 'H47z.00', 'Hyu4700', 'SP13100']"
asthma,"['14B4.00', '173A.00', '173c.00', '173d.00', '1780.00', '1O2..00', '2126200.0', '212G.00', 'H312000', 'H330000', 'H330011', 'H330100', 'H330111', 'H330.00', 'H330.11', 'H330.12', 'H330.13', 'H330.14', 'H330z00', 'H331000', 'H331100', 'H331111', 'H331.00', 'H331.11', 'H331z00', 'H332.00', 'H333.00', 'H334.00', 'H335.00', 'H33..00', 'H33..11', 'H33z000', 'H33z011', 'H33z100', 'H33z111', 'H33z200', 'H33z.00', 'H33z.11', 'H33zz00', 'H33zz11', 'H33zz12', 'H33zz13']"
autism,"['E140000', 'E140100', 'E140.00', 'E140.11', 'E140.12', 'E140.13', 'E140z00', 'Eu84000', 'Eu84011', 'Eu84012', 'Eu84014', 'Eu84100', 'Eu84112', 'Eu84500', 'Eu84511', 'Eu84z11']"
autoimm_liver,"['J614111', 'J616000', 'J63B.00', 'J661700']"
autonomic_neuro,"['2BE3.00', 'F170000', 'F170100', 'F170.00', 'F170z00', 'F171000', 'F171100', 'F171.00', 'F171z00', 'F172.00', 'F173.00', 'F175.00', 'F17..00', 'F17z.00', 'F17z.11', 'F17z.12', 'F347.00', 'F369.00', 'FyuAC00', 'FyuAD00', 'N337100', 'N337111', 'N337200', 'N337300', 'N337400', 'N337.00', 'N337.11', 'N337.12', 'N337z00', 'N33C.00', 'P2x2.00', 'P2x5.00']"
av_block_1,"['3294', '32I3.00', 'G561100', 'G561111']"
av_block_2,"['3295.00', '3296.00', '3297.00', '3297.11', '329H.00', 'G561200', 'G561300', 'G561311', 'G561400']"
av_block_3,"['3293.00', '3298.00', 'G560.00', 'G560.11']"
b12_def,"['1452', '66E1.00', '66E2.00', '66E3.00', '66E4.00', '66E5.00', '66E6.00', '66E..00', '66E7.00', '66E8.00', '66EZ.00', 'C262100', 'D010.00', 'D010.11', 'D010.12', 'D010.13', 'D011000', 'D011011', 'D011013', 'D011100', 'D011200', 'D011.00', 'D011.11', 'D011X00', 'D011z00', 'D013000', 'Dyu0100', 'Dyu0200', 'Dyu0600', 'F11x600', 'F162.00', 'F381500']"
barretts,"['J101611', 'J102500', 'J10y600']"
bells,"['1476', 'F310.00']"
benign_brain,"['B7F0000', 'B7F0.00', 'B7F0.11', 'B7F1000', 'B7F1.00', 'B7F2000', 'B7F2.00', 'B7F2z00', 'B7F3.00', 'B7F4000', 'B7F4.00', 'B7F4z00', 'B7F..00', 'B7FX.00', 'B7Fz.00', 'B7H2000', 'B7H2100', 'B7H2200', 'B7H2300', 'B7H2.00', 'B7H2.11', 'B7H2z00', 'B7H3.00', 'B7H4.00', 'B7H5000', 'B7H5100', 'B7H5200', 'B7H5.00', 'B7H5z00', 'BBb5.00', 'BBd0.00', 'BBd3.00', 'BBd3.11', 'BBd4.00', 'BBd5.00', 'BBd6.00', 'BBd7.00', 'BBd7.11', 'BBd8.00', 'BBd9.00', 'BBd..00', 'BBdz.00', 'BBe5.11']"
benign_colon,"['771G400', '7722.11', '7722.12', '7726111.0', '7726112.0', '7726212.0', '7731200.0', 'B713000', 'B713100', 'B713200', 'B713300', 'B713400', 'B713500', 'B713600', 'B713700', 'B713900', 'B713.00', 'B713.11', 'B713z00', 'B714000', 'B714100', 'B714111', 'B714200', 'B714300', 'B714.00', 'B714z00', 'J570000', 'J570100', 'J570.00', 'J570z00', 'J578.00', 'J578.11']"
benign_ovary,"['7E20300', '7E23300', '7E25200', '7E25211', '7E29100', '7E2B000', 'B7A2.00', 'B7A..00', 'B7A..11', 'BB81.00', 'BB81z00', 'K530.00', 'K530.11', 'K531000', 'K531100', 'K531200', 'K531.00', 'K531z00', 'K532000', 'K532100', 'K532300', 'K532.00', 'K532z00', 'K53..11', 'Kyu9500', 'PC04.00', 'ZV13G00']"
benign_stomach,"['7612000.0', 'B711000', 'B711100', 'B711200', 'B711300', 'B711400', 'B711.00', 'B711.11', 'B711z00', 'B712000', 'B712011', 'B712100', 'B712111', 'B712200', 'B712.00', 'B712z00', 'J177.00', 'J177.11', 'J178.00', 'J178.11']"
benign_uterus,"['7E0D311', '7E0D700', 'B791000', 'B791100', 'B791200', 'B791.00', 'B791z00', 'B79..00', 'B79y.00', 'B79z.00', 'ByuGB00', 'K540.00', 'K540.11']"
bifasc_block,"['329F.00', '329G.00', 'G565100', 'G565200']"
blind,"['1B75.00', '2B6A.11', '2B6B.00', '2B6S.00', '2B7A.11', '2B7B.00', '2B7S.00', '2BBo.00', '2BBr.00', '6688', '6688.11', '6689', '6689.11', '668D.00', '8F61.00', '8F62.00', '8F6..11', '8HlE.00', '9m08.00', '9NfB.00', '9NlD.00', 'F404100', 'F404200', 'F490000', 'F490100', 'F490200', 'F490400', 'F490600', 'F490900', 'F490.00', 'F490z00', 'F491000', 'F491100', 'F491300', 'F491400', 'F491500', 'F491700', 'F491.00', 'F491z00', 'F492000', 'F492200', 'F492300', 'F492400', 'F492500', 'F492.00', 'F492z00', 'F493.00', 'F494.00', 'F495000', 'F495100', 'F495200', 'F495300', 'F495400', 'F495500', 'F495600', 'F495800', 'F495A00', 'F495.00', 'F495z00', 'F496000', 'F496100', 'F496200', 'F496300', 'F496400', 'F496500', 'F496600', 'F496.00', 'F496z00', 'F497.00', 'F498.00', 'F499.00', 'F49A.00', 'F49B.00', 'F49C.00', 'F49..00', 'F49..11', 'F49..13', 'F49..14', 'F49y.00', 'F49z000', 'F49z.00', 'F49z.11', 'F4H7300', 'Fy1..00', 'FyuL.00', 'SJ0z.11', 'Z961.00', 'Z962.00', 'Z96..00', 'ZK74.00', 'ZN56800', 'ZN56A00', 'ZRhO.00', 'ZRr6.00', 'ZV41000']"
bronchiectasis,"['A115.00', 'H340.00', 'H341.00', 'H34..00', 'H34z.00', 'P861.00']"
cardiomyo_oth,"['C373300', 'C373G00', 'F391B00', 'G343.00', 'G550.00', 'G552.00', 'G554100', 'G554200', 'G554500', 'G554511', 'G554.00', 'G554z00', 'G557000', 'G557011', 'G557100', 'G557500', 'G557.00', 'G557z00', 'G558000', 'G558100', 'G558200', 'G558400', 'G558.00', 'G558z00', 'G559.00', 'G55A.00', 'G55A.11', 'G55..00', 'G55y000', 'G55y.00', 'G55z.00', 'Gyu5N00', 'Gyu5P00', 'Gyu5R00']"
carpal_tunnel,"['7056000.0', '7056011.0', '7056200.0', '7056400.0', '705A100', '85BE.00', '8Hlr.00', '9Nu3000', 'F340.00', 'F340.12']"
cataract,"['1483', '14N9.00', '14NA.00', '14NC.00', '22E5.00', '2BT0.00', '2BT1.00', '2BT..00', '7263011', '7263.12', '7264.11', '7266100', '7266.11', '7267600', '8H5H.00', '8HTV.00', '8LC0.00', 'C108F00', 'C108F11', 'C108F12', 'C109E00', 'C109E11', 'C109E12', 'C10EF00', 'C10EF12', 'C10FE00', 'C10FE11', 'F460000', 'F460100', 'F460200', 'F460300', 'F460400', 'F460500', 'F460600', 'F460700', 'F460.00', 'F460x00', 'F460y00', 'F460z00', 'F461000', 'F461100', 'F461200', 'F461300', 'F461400', 'F461500', 'F461600', 'F461700', 'F461800', 'F461900', 'F461A00', 'F461B00', 'F461B11', 'F461.00', 'F461x00', 'F461y00', 'F461z00', 'F463000', 'F463200', 'F463300', 'F463400', 'F463.00', 'F463z00', 'F464000', 'F464100', 'F464200', 'F464300', 'F464.00', 'F464z00', 'F465000', 'F465200', 'F465300', 'F465500', 'F465.00', 'F465z00', 'F466.00', 'F46..00', 'F46y.00', 'F46yz00', 'F46z000', 'F46z.00', 'F4B4B00', 'F4B4C00', 'F4K2D00', 'FyuE000', 'FyuE100', 'FyuE400', 'P330.00', 'P331000', 'P331100', 'P331.00', 'P331z00', 'P332000', 'P332100', 'P332.00', 'P332z00', 'P333.00', 'P334000', 'P334z00', 'P33..00', 'P33y000', 'P33y100', 'P33y.00', 'P33yz00', 'P33z.00', 'ZV45611']"
cerebral_palsy,"['38Gw.00', 'F137000', 'F137011', 'F137100', 'F137111', 'F137.11', 'F137.12', 'F230000', 'F230100', 'F230111', 'F230.00', 'F230.11', 'F230z00', 'F231.00', 'F232.00', 'F232.11', 'F233.00', 'F233.11', 'F234.00', 'F23..00', 'F23..11', 'F23..12', 'F23..13', 'F23..14', 'F23y000', 'F23y100', 'F23y200', 'F23y300', 'F23y400', 'F23y500', 'F23y511', 'F23y600', 'F23y.00', 'F23yz00', 'F23z.00', 'F2B0.00', 'F2B1.00', 'F2B..00', 'F2By.00', 'F2Bz.00', 'Fyu9000', 'Fyu9.00', 'G669.00']"
cholangitis,"['J620100', 'J646.00', 'J661000', 'J661100', 'J661200', 'J661300', 'J661400', 'J661500', 'J661600', 'J661700', 'J661800', 'J661900', 'J661.00', 'J661y00', 'J661z00']"
cholecystitis,"['J643000', 'J643100', 'J643.00', 'J643z00', 'J644000', 'J644100', 'J644.00', 'J644z00', 'J650000', 'J650100', 'J650200', 'J650300', 'J650400', 'J650.00', 'J650.11', 'J650.12', 'J650z00', 'J651000', 'J651.00', 'J651y00', 'J651z00', 'Jyu8100']"
cholelithiasis,"['14CE.00', '1965.00', '1965.11', '4775.00', '4G21.00', '4G22.00', '4G2..00', '4G2Z.00', '7648700.0', '8CMWD00', 'J503000', 'J640000', 'J640100', 'J640.00', 'J640z00', 'J641000', 'J641100', 'J641.00', 'J641z00', 'J642000', 'J642100', 'J642200', 'J642.00', 'J642.11', 'J642z00', 'J643000', 'J643100', 'J643.00', 'J643z00', 'J644000', 'J644100', 'J644.00', 'J644z00', 'J645000', 'J645100', 'J645200', 'J645.00', 'J645.11', 'J645z00', 'J646.00', 'J64..00', 'J64..11', 'J64..12', 'J64..13', 'J64..14', 'J64..15', 'J64..16', 'J64z000', 'J64z100', 'J64z.00', 'J64zz00', 'J670500', 'J671100', 'Jyu8000']"
chr_cystitis,"['K151000', 'K151200', 'K151.00', 'K151z00', 'K152000', 'K152.00', 'K152y00', 'K152z00', 'K153.11', 'K15y000', 'Kyu5000']"
chr_hep,"['141E.00', '14i..00', '2126700.0', '43B4.00', '43B5.00', '43j5.00', '43jG.00', '43X3.00', '4J3B.00', '4J3D.00', '4JQ3.00', '4JQD.00', '4JQD.11', '4JQF.00', '7Q05200', '8BB5.00', '9kR..00', '9kV..00', '9kV..11', '9kX..00', '9kZ..00', '9kZ..11', '9NgR.00', 'A703.00', 'A705000', 'A705100', 'A707000', 'A707100', 'A707200', 'A707300', 'A707.00', 'A707X00', 'A70A.00', 'A70B.00', 'A70C.00', 'A70D.00', 'A70z000', 'AyuB100', 'AyuB200', 'Q409100']"
chronic_fatigue,"['8HlL.00', '8HlL.11', '8Q1..00', '8Q1..11', 'E205.00', 'Eu46000', 'Eu46011', 'F03y.12', 'F286000', 'F286100', 'F286200', 'F286.00', 'F286.11', 'F286.12', 'F286.13', 'F286.14', 'F286.15', 'F286.16', 'N239.00', 'N240100', 'N240500', 'N240600', 'N248.00', 'R007400', 'R007411']"
cin_cervical,"['4K2..11', '4K2J.00', '4K2K.00', '4K2L.00', '4K2N.00', '4K2P.00', 'B831000', 'B831100', 'B831.00', 'B831.11', 'B831.12', 'B831.13', 'ByuFA00', 'K551000', 'K551100', 'K551300', 'K551311', 'K551400', 'K551411', 'K551.00', 'K551.12', 'K551X00', 'K551z00', 'R150000', 'ZV13B00', 'ZV13B11', 'ZV13C00', 'ZV13C11', 'ZV13D00', 'ZV13E00']"
cirrhosis,"['C310400', 'C350012', 'C370800', 'G852200', 'G852300', 'J612000', 'J612.00', 'J612.11', 'J612.12', 'J613000', 'J613.00', 'J615100', 'J615300', 'J615400', 'J615500', 'J615600', 'J615700', 'J615711', 'J615800', 'J615812', 'J615C00', 'J615D00', 'J615G00', 'J615H00', 'J615.00', 'J615.11', 'J615y00', 'J615z00', 'J615z11', 'J615z12', 'J615z13', 'J615z15', 'J616100', 'J616200', 'J616.00', 'J616z00', 'J617000', 'J617.00', 'J61..00', 'J61y300', 'J61y400', 'J61y500', 'J61y600', 'J635600', 'Jyu7100']"
coeliac,"['6648000.0', '6648.00', '8IAp.00', '9mB1.00', '9mB..00', 'J690000', 'J690100', 'J690.00', 'J690.11', 'J690.12', 'J690.13', 'J690.14', 'J690.15', 'J690z00', 'ZC2C200']"
collapsed_vert,"['7J41300', '7J41500', '7J48M00', 'N331000', 'N331011', 'N331100', 'N331111', 'N331800', 'N331900', 'N331A00', 'N331C00', 'N331D00', 'N331E00', 'N331F00', 'N331G00', 'N331H00', 'N331J00', 'N331K00', 'N331L00', 'N331.11', 'N331.12', 'N331.14', 'Nyu6700', 'S100H00', 'S102100', 'S104100', 'S106000']"
congenital_septal,"['14AV.00', '2126800.0', '24M..00', '7902000.0', '7902100.0', '7902200.0', '7902300.0', '7902400.0', '7902500.0', '7902600.0', '7902.00', '7902.11', '7902y00', '7902z00', '7902z11', '7906300.0', '7906311.0', '7908500.0', '7908511.0', '7908600.0', '7908611.0', '790K100', 'P500.00', 'P511300', 'P520.00', 'P520.11', 'P520.12', 'P521.00', 'P52..00', 'P52z.00', 'P53..00', 'P540.00', 'P541.00', 'P542.00', 'P543.00', 'P544.00', 'P545.00', 'P54..00', 'P54y.00', 'P54z.00', 'P550.00', 'P550.11', 'P550.12', 'P550.13', 'P551.00', 'P552.00', 'P552.11', 'P553.00', 'P55..00', 'P55y.00', 'P55y.11', 'P55z.00', 'P561.00', 'P561.11', 'P56..00', 'P56y.00', 'P56z000', 'P56z011', 'P56z100', 'P56z200', 'P56z.00', 'P56zz00', 'P5y..00', 'P5z..00', 'P60z100']"
crohns,"['J08z900', 'J400000', 'J400100', 'J400200', 'J400300', 'J400400', 'J400500', 'J400.00', 'J400z00', 'J401000', 'J401100', 'J401200', 'J401.00', 'J401z00', 'J401z11', 'J402.00', 'J40..00', 'J40..11', 'J40..12', 'J40z.00', 'J40z.11', 'Jyu4000', 'N031100', 'N045300', 'ZR3S.00', 'ZR3S.11']"
dcm,"['G554000', 'G554400', 'G555.00', 'G55y.11']"
deaf,"['1493.00', '1C13100', '1C13.00', '1C13.11', '1C13200', '1C13300', '1C17.00', '2BL..11', '2BL3.00', '2BL4.00', '2BL5.00', '2BM2.11', '2BM3.11', '2DG..00', '2DH0.00', '7308400.0', '7308500.0', '7308600.0', '7311A00', '7317C00', '7317D00', '7317.00', '7319000.0', '7319100.0', '7319200.0', '7319300.0', '7319400.0', '7319500.0', '7319600.0', '7319.00', '7319700.0', '7319y00', '7319z00', '8D21.00', '8D22.00', '8D23.00', '8D24.00', '8D26.00', '8D2..12', '8E3..00', '8E3Z.00', '8HT2.00', '8M41.00', '9N0b.00', '9NfB.00', 'A560200', 'F580100', 'F580111', 'F581200', 'F581211', 'F582.00', 'F590000', 'F590100', 'F590200', 'F590300', 'F590400', 'F590500', 'F590600', 'F590.00', 'F590.11', 'F590y00', 'F590z00', 'F591000', 'F591100', 'F591200', 'F591211', 'F591300', 'F591400', 'F591500', 'F591511', 'F591600', 'F591700', 'F591800', 'F591900', 'F591A00', 'F591B00', 'F591C00', 'F591D00', 'F591E00', 'F591.00', 'F591.11', 'F591.12', 'F591.13', 'F591.14', 'F591y00', 'F591z00', 'F592000', 'F592100', 'F592.00', 'F592.11', 'F593.00', 'F594.00', 'F595.00', 'F596.00', 'F597.00', 'F598.00', 'F599.00', 'F59A.00', 'F59A.11', 'F59..00', 'F59..11', 'F59y.00', 'F59z.00', 'F59z.11', 'F5A..00', 'Fy1..00', 'FyuU000', 'FyuU100', 'P400.00', 'P402.00', 'P402z00', 'P40..00', 'P40z.00', 'P40z.11', 'P40zz00', 'PKyP.00', 'Pyu1B00', 'Z8B5100', 'Z8B5300', 'Z8B5311', 'Z8B5500', 'Z8B5.00', 'Z911100', 'Z911300', 'Z911400', 'Z911500', 'Z911700', 'Z911800', 'Z911900', 'Z911A00', 'Z911B00', 'Z911E00', 'Z911G00', 'Z911.00', 'Z9E8100', 'ZE87.00', 'ZE87.11', 'ZE87.13', 'ZE87.15', 'ZE87.16', 'ZE87.17', 'ZE87.18', 'ZE87.19', 'ZE87.20', 'ZL71600', 'ZN56900', 'ZN56A00', 'ZV45G00', 'ZV45N00', 'ZV53200', 'ZV53D00']"
delirium,"['2233.00', 'E001100', 'E003.00', 'E004100', 'E030000', 'E030100', 'E030200', 'E030300', 'E030400', 'E030.00', 'E030.11', 'E031000', 'E031100', 'E031300', 'E031400', 'E031.00', 'E031.11', 'E031z00', 'Eu04000', 'Eu04100', 'Eu04.00', 'Eu04.11', 'Eu04.12', 'Eu04.13', 'Eu04.14', 'Eu04.15', 'Eu04y00', 'Eu04z00']"
dementia,"['1461.00', '66h..00', '6AB..00', '8CMZ.00', '9hD0.00', '9hD1.00', '9hD..00', '9Ou1.00', '9Ou2.00', '9Ou3.00', '9Ou4.00', '9Ou5.00', '9Ou..00', 'E000.00', 'E001000', 'E001100', 'E001200', 'E001300', 'E001.00', 'E001z00', 'E002000', 'E002100', 'E002.00', 'E002z00', 'E003.00', 'E004000', 'E004100', 'E004200', 'E004300', 'E004.00', 'E004.11', 'E004z00', 'E00..00', 'E00..11', 'E00..12', 'E00y.00', 'E00y.11', 'E00z.00', 'E041.00', 'Eu00000', 'Eu00011', 'Eu00012', 'Eu00013', 'Eu00100', 'Eu00111', 'Eu00112', 'Eu00113', 'Eu00200', 'Eu00.00', 'Eu00z00', 'Eu00z11', 'Eu01000', 'Eu01100', 'Eu01111', 'Eu01200', 'Eu01300', 'Eu01.00', 'Eu01.11', 'Eu01y00', 'Eu01z00', 'Eu02z00', 'Eu02z11', 'Eu02z12', 'Eu02z13', 'Eu02z14', 'Eu02z15', 'Eu02z16', 'Eu04100', 'F110000', 'F110100', 'F110.00', 'Fyu3000', 'ZS7C500']"
depression,"['1465.00', '212S.00', '8BK0.00', '8CAa.00', '8HHq.00', '9H90.00', '9H91.00', '9H92.00', '9HA0.00', '9k40.00', '9k4..00', '9kQ..00', '9Ov0.00', '9Ov1.00', '9Ov2.00', '9Ov3.00', '9Ov4.00', '9Ov..00', 'E001300', 'E002100', 'E004300', 'E112000', 'E112100', 'E112200', 'E112300', 'E112400', 'E112500', 'E112600', 'E112.00', 'E112.11', 'E112.12', 'E112.13', 'E112.14', 'E112z00', 'E113000', 'E113100', 'E113200', 'E113300', 'E113400', 'E113500', 'E113600', 'E113700', 'E113.00', 'E113.11', 'E113z00', 'E118.00', 'E11..12', 'E11y200', 'E11z200', 'E130.00', 'E130.11', 'E135.00', 'E200300', 'E291.00', 'E2B1.00', 'E2B..00', 'Eu20400', 'Eu25100', 'Eu25111', 'Eu25112', 'Eu32000', 'Eu32100', 'Eu32200', 'Eu32211', 'Eu32212', 'Eu32213', 'Eu32300', 'Eu32311', 'Eu32312', 'Eu32313', 'Eu32314', 'Eu32400', 'Eu32500', 'Eu32600', 'Eu32700', 'Eu32800', 'Eu32900', 'Eu32A00', 'Eu32.00', 'Eu32.11', 'Eu32.12', 'Eu32.13', 'Eu32y00', 'Eu32y11', 'Eu32y12', 'Eu32z00', 'Eu32z11', 'Eu32z12', 'Eu32z13', 'Eu32z14', 'Eu33000', 'Eu33100', 'Eu33200', 'Eu33211', 'Eu33212', 'Eu33213', 'Eu33214', 'Eu33300', 'Eu33311', 'Eu33312', 'Eu33313', 'Eu33314', 'Eu33315', 'Eu33316', 'Eu33400', 'Eu33.00', 'Eu33.11', 'Eu33.12', 'Eu33.13', 'Eu33.14', 'Eu33.15', 'Eu33y00', 'Eu33z00', 'Eu33z11', 'Eu34100', 'Eu34111', 'Eu34112', 'Eu34113', 'Eu34114', 'Eu41200', 'Eu41211']"
dermatitis,"['14F1.00', '26C4.00', '3355.00', 'C391211', 'F4D3000', 'F4D3100', 'F4D3111', 'F4D3112', 'F4D4.00', 'F4D5.00', 'F502400', 'F502411', 'H330.00', 'M07y.11', 'M07z.14', 'M102.00', 'M102.11', 'M104.00', 'M11..00', 'M111.00', 'M1...11', 'M112.00', 'M113.00', 'M114.00', 'M115.00', 'M116.00', 'M116.11', 'M117.00', 'M119.00', 'M11A.00', 'M11z.00', 'M120.00', 'M12..00', 'M121.00', 'M12..11', 'M121.11', 'M121.12', 'M12..12', 'M12..13', 'M122000', 'M122.00', 'M122100', 'M122300', 'M122z00', 'M123000', 'M123.00', 'M123100', 'M123200', 'M123300', 'M123400', 'M123500', 'M123600', 'M123700', 'M123800', 'M123z00', 'M124000', 'M124.00', 'M124100', 'M124111', 'M124200', 'M124300', 'M124400', 'M124500', 'M124600', 'M124700', 'M124800', 'M124z00', 'M125000', 'M125.00', 'M125100', 'M125200', 'M125300', 'M125400', 'M125500', 'M125z00', 'M125z11', 'M126000', 'M126.00', 'M126100', 'M126200', 'M126300', 'M126500', 'M126600', 'M126z00', 'M128000', 'M128.00', 'M128100', 'M128200', 'M128300', 'M128400', 'M128500', 'M128600', 'M129000', 'M129.00', 'M129100', 'M129200', 'M129300', 'M129400', 'M12y000', 'M12y.00', 'M12y011', 'M12y012', 'M12y100', 'M12y200', 'M12y300', 'M12y400', 'M12y500', 'M12y600', 'M12y700', 'M12y800', 'M12y811', 'M12y900', 'M12yA00', 'M12yB00', 'M12yC00', 'M12yD00', 'M12yz00', 'M12z000', 'M12z.00', 'M12z100', 'M12z111', 'M12z200', 'M12z300', 'M12z400', 'M12zz00', 'M130000', 'M130.00', 'M13..00', 'M130100', 'M130.11', 'M130200', 'M131.00', 'M13y.00', 'M13z.00', 'M15y200', 'M165000', 'M173.00', 'M182000', 'M182.00', 'M182200', 'M182300', 'M182z00', 'M183000', 'M183.00', 'M183100', 'M183200', 'M183z00', 'M1B..11', 'M1y0.00', 'M1y1.00', 'M252000', 'M252.00', 'M252100', 'M252200', 'M252300', 'M252z00', 'M2y4100', 'M2y4811', 'Myu2.00', 'Myu2100', 'Myu2200', 'Myu2300', 'Myu2400', 'Myu2500', 'Myu2600', 'Myu2700', 'Myu2A00', 'Myu2C00']"
diab_eye,"['2BBk.00', '2BBl.00', '2BBL.00', '2BBM.00', '2BBo.00', '2BBP.00', '2BBQ.00', '2BBr.00', '2BBR.00', '2BBS.00', '2BBT.00', '2BBV.00', '2BBW.00', '2BBX.00', '7276.00', 'C105000', 'C105100', 'C105.00', 'C105y00', 'C105z00', 'C108100', 'C108112', 'C108700', 'C108711', 'C108712', 'C108F00', 'C108F11', 'C108F12', 'C109100', 'C109111', 'C109112', 'C109600', 'C109611', 'C109612', 'C109E00', 'C109E11', 'C109E12', 'C10E100', 'C10E111', 'C10E112', 'C10E700', 'C10E711', 'C10E712', 'C10EF00', 'C10EF12', 'C10EP00', 'C10EP11', 'C10F100', 'C10F111', 'C10F600', 'C10F611', 'C10FE00', 'C10FE11', 'C10FQ00', 'F420000', 'F420100', 'F420200', 'F420300', 'F420400', 'F420500', 'F420600', 'F420700', 'F420800', 'F420.00', 'F420z00', 'F440700', 'F464000']"
