Readcode,MedicalCondition
G344.00,CPRD_CHD_NOS
G34y.00,CPRD_CHD_NOS
G34y100,CPRD_CHD_NOS
G34yz00,CPRD_CHD_NOS
G34z.00,CPRD_CHD_NOS
G34z000,CPRD_CHD_NOS
G3y..00,CPRD_CHD_NOS
G3z..00,CPRD_CHD_NOS
Gyu3.00,CPRD_CHD_NOS
Gyu3200,CPRD_CHD_NOS
Gyu3300,CPRD_CHD_NOS
14B3.12,CPRD_COPD
H310000,CPRD_COPD
H310.00,CPRD_COPD
H310z00,CPRD_COPD
H311000,CPRD_COPD
H311100,CPRD_COPD
H311.00,CPRD_COPD
H311z00,CPRD_COPD
H312000,CPRD_COPD
H312011,CPRD_COPD
H312100,CPRD_COPD
H312200,CPRD_COPD
H312300,CPRD_COPD
H312.00,CPRD_COPD
H312z00,CPRD_COPD
H313.00,CPRD_COPD
H31..00,CPRD_COPD
H31y100,CPRD_COPD
H31y.00,CPRD_COPD
H31yz00,CPRD_COPD
H31z.00,CPRD_COPD
H320000,CPRD_COPD
H320100,CPRD_COPD
H320200,CPRD_COPD
H320300,CPRD_COPD
H320.00,CPRD_COPD
H320z00,CPRD_COPD
H321.00,CPRD_COPD
H322.00,CPRD_COPD
H32..00,CPRD_COPD
H32y000,CPRD_COPD
H32y100,CPRD_COPD
H32y111,CPRD_COPD
H32y200,CPRD_COPD
H32y.00,CPRD_COPD
H32yz00,CPRD_COPD
H32z.00,CPRD_COPD
H36..00,CPRD_COPD
H37..00,CPRD_COPD
H38..00,CPRD_COPD
H39..00,CPRD_COPD
H3A..00,CPRD_COPD
H3...00,CPRD_COPD
H3...11,CPRD_COPD
H3y0.00,CPRD_COPD
H3y1.00,CPRD_COPD
H3y..00,CPRD_COPD
H3y..11,CPRD_COPD
H3z..00,CPRD_COPD
H3z..11,CPRD_COPD
H464000,CPRD_COPD
H464100,CPRD_COPD
H583200,CPRD_COPD
Hyu3000,CPRD_COPD
Hyu3100,CPRD_COPD
1ABB.00,CPRD_ED
1ABC.00,CPRD_ED
1D1B.00,CPRD_ED
7A6G000,CPRD_ED
7A6G500,CPRD_ED
7C25B00,CPRD_ED
7C25E00,CPRD_ED
7C25F00,CPRD_ED
8BB4.00,CPRD_ED
8HTj.00,CPRD_ED
E227300,CPRD_ED
E227311,CPRD_ED
Eu52200,CPRD_ED
Eu52212,CPRD_ED
Eu52213,CPRD_ED
K27y100,CPRD_ED
K27y700,CPRD_ED
Z9E9.00,CPRD_ED
ZG43600,CPRD_ED
14S2.00,CPRD_ESRD
14V2.00,CPRD_ESRD
14V2.11,CPRD_ESRD
1Z14.00,CPRD_ESRD
1Z1K.00,CPRD_ESRD
1Z1L.00,CPRD_ESRD
1Z1L.11,CPRD_ESRD
4I29.00,CPRD_ESRD
4N0..00,CPRD_ESRD
4N2..00,CPRD_ESRD
7B00100,CPRD_ESRD
7B00111,CPRD_ESRD
7B00200,CPRD_ESRD
7B00211,CPRD_ESRD
7B00212,CPRD_ESRD
7B00300,CPRD_ESRD
7B00400,CPRD_ESRD
7B00500,CPRD_ESRD
7B00.00,CPRD_ESRD
7B00y00,CPRD_ESRD
7B00z00,CPRD_ESRD
7B01511,CPRD_ESRD
7B06300,CPRD_ESRD
7B0F300,CPRD_ESRD
7B0F.00,CPRD_ESRD
7B0Fy00,CPRD_ESRD
7B0Fz00,CPRD_ESRD
7L1A000,CPRD_ESRD
7L1A011,CPRD_ESRD
7L1A100,CPRD_ESRD
7L1A200,CPRD_ESRD
7L1A400,CPRD_ESRD
7L1A500,CPRD_ESRD
7L1A600,CPRD_ESRD
7L1A.11,CPRD_ESRD
7L1B000,CPRD_ESRD
7L1B100,CPRD_ESRD
7L1B200,CPRD_ESRD
7L1B.11,CPRD_ESRD
7L1C000,CPRD_ESRD
8882.00,CPRD_ESRD
G72C.00,CPRD_ESRD
G72D000,CPRD_ESRD
G72D100,CPRD_ESRD
G72D200,CPRD_ESRD
G72D.00,CPRD_ESRD
Gy10.00,CPRD_ESRD
Gy1..00,CPRD_ESRD
Gy21.00,CPRD_ESRD
Gy2..00,CPRD_ESRD
Gy30.00,CPRD_ESRD
Gy31.00,CPRD_ESRD
Gy3..00,CPRD_ESRD
Gy40.00,CPRD_ESRD
Gy41.00,CPRD_ESRD
Gy4..00,CPRD_ESRD
Gy51.00,CPRD_ESRD
Gy5..00,CPRD_ESRD
Gy60.00,CPRD_ESRD
K050.00,CPRD_ESRD
K05..12,CPRD_ESRD
K0B5.00,CPRD_ESRD
K0D..00,CPRD_ESRD
Kyu1C00,CPRD_ESRD
SP01500,CPRD_ESRD
SP05613,CPRD_ESRD
SP06B00,CPRD_ESRD
SP07G00,CPRD_ESRD
SP08300,CPRD_ESRD
SP08D00,CPRD_ESRD
SP08E00,CPRD_ESRD
SP08F00,CPRD_ESRD
SP08G00,CPRD_ESRD
SP08H00,CPRD_ESRD
SP08J00,CPRD_ESRD
SP08N00,CPRD_ESRD
SP08P00,CPRD_ESRD
SP08R00,CPRD_ESRD
SP08T00,CPRD_ESRD
SP08V00,CPRD_ESRD
SP08W00,CPRD_ESRD
SP0E.00,CPRD_ESRD
SP0F.00,CPRD_ESRD
SP0G.00,CPRD_ESRD
TA02000,CPRD_ESRD
TA22000,CPRD_ESRD
TB00100,CPRD_ESRD
TB00111,CPRD_ESRD
TB11.00,CPRD_ESRD
TB11.11,CPRD_ESRD
Z1A1.00,CPRD_ESRD
Z1A2.00,CPRD_ESRD
Z1A..00,CPRD_ESRD
Z919100,CPRD_ESRD
Z919200,CPRD_ESRD
Z919300,CPRD_ESRD
Z919.00,CPRD_ESRD
Z91A.00,CPRD_ESRD
ZV42000,CPRD_ESRD
ZV45100,CPRD_ESRD
ZV56000,CPRD_ESRD
ZV56011,CPRD_ESRD
ZV56y00,CPRD_ESRD
ZV56y11,CPRD_ESRD
ZV56.00,CPRD_ESRD
ZV56z00,CPRD_ESRD
ZVu3G00,CPRD_ESRD
G755000,CPRD_GCA
G755100,CPRD_GCA
G755200,CPRD_GCA
G755.00,CPRD_GCA
G755z00,CPRD_GCA
N200.00,CPRD_GCA
Nyu4100,CPRD_GCA
D310100,CPRD_GN
G752111,CPRD_GN
G752112,CPRD_GN
K000100,CPRD_GN
K000111,CPRD_GN
K000.00,CPRD_GN
K001.00,CPRD_GN
K00..00,CPRD_GN
K00..12,CPRD_GN
K00y000,CPRD_GN
K00y.00,CPRD_GN
K00yz00,CPRD_GN
K00z.00,CPRD_GN
K010.00,CPRD_GN
K011.00,CPRD_GN
K012.00,CPRD_GN
K013.00,CPRD_GN
K013.11,CPRD_GN
K013.12,CPRD_GN
K014.00,CPRD_GN
K015.00,CPRD_GN
K016.00,CPRD_GN
K017.00,CPRD_GN
K018.00,CPRD_GN
K019.00,CPRD_GN
K01A.00,CPRD_GN
K01B.00,CPRD_GN
K01..00,CPRD_GN
K01x000,CPRD_GN
K01x200,CPRD_GN
K01x300,CPRD_GN
K01x400,CPRD_GN
K01x411,CPRD_GN
K01x.00,CPRD_GN
K01y.00,CPRD_GN
K01z.00,CPRD_GN
K020.00,CPRD_GN
K021.00,CPRD_GN
K022.00,CPRD_GN
K023.00,CPRD_GN
K02..00,CPRD_GN
K02y000,CPRD_GN
K02y200,CPRD_GN
K02y300,CPRD_GN
K02y.00,CPRD_GN
K02yz00,CPRD_GN
K02z.00,CPRD_GN
K030.00,CPRD_GN
K031.00,CPRD_GN
K032000,CPRD_GN
K032100,CPRD_GN
K032200,CPRD_GN
K032300,CPRD_GN
K032600,CPRD_GN
K032.00,CPRD_GN
K032y00,CPRD_GN
K032y11,CPRD_GN
K032y13,CPRD_GN
K032y14,CPRD_GN
K032y15,CPRD_GN
K032z00,CPRD_GN
K033.00,CPRD_GN
K03U.00,CPRD_GN
K03V.00,CPRD_GN
K03W.00,CPRD_GN
K03X.00,CPRD_GN
K03z.00,CPRD_GN
K072.00,CPRD_GN
K0A0000,CPRD_GN
K0A0100,CPRD_GN
K0A0200,CPRD_GN
K0A0300,CPRD_GN
K0A0400,CPRD_GN
K0A0500,CPRD_GN
K0A0600,CPRD_GN
K0A0700,CPRD_GN
K0A0.00,CPRD_GN
K0A1100,CPRD_GN
